File0,File1,File2,File3,File4,File5,File6,File7,File8,File9
accord,honda,light,civic,honda,car,honda,price,car,nbsp
car,toyota,engine,mazda,problem,door,dealer,ex,brake,tire
the,hyundai,fuel,si,car,the,car,dealer,drive,wheel
like,car,com,car,mile,honda,price,good,the,the
look,year,the,drive,oil,like,buy,fee,time,rim
good,civic,http,mpg,change,know,good,accord,engine,good
drive,model,www,the,the,window,warranty,get,speed,accord
v6,accord,check,mile,dealer,don,pay,car,gear,michelin
camry,ford,oil,good,accord,seat,deal,invoice,like,ex
